phenocode	name	num_cases	num_controls	gc_lambda	num_gw_significant
AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers	1108	175791	1.0378	5
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	1086	175813	1.0326	1
AB1_HELMINTIASES	Helminthiases	192	176707	0.85684	1
AB1_HIV	Human immunodeficiency virus [HIV] disease	295	176604	0.95593	0
AB1_INFECTIONS	Certain infectious and parasitic diseases	43011	133888	1.0388	3
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	16735	160164	1.0259	2
AB1_MYCOSES	Mycoses	2995	173904	1.0188	0
AB1_OTHER_BACTERIAL	Other bacterial diseases	15222	161677	1.0094	1
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	141	176758	0.79055	1
AB1_OTHER_INFECTIONS	Other infectious diseases	936	175963	1.0402	1
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	904	175995	1.045	0
AB1_OTHER_VIRAL	Other viral diseases	2836	174063	1.0028	0
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	517	176382	1.0278	3
AB1_PROTOZOAL	Protozoal diseases	226	176673	0.90023	0
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	1062	175837	1.0378	0
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	4620	172279	1.0269	2
AB1_TUBERCULOSIS	Tuberculosis	939	175960	1.0441	0
AB1_VIRAL_CNS	Viral infections of the central nervous system	784	176115	1.0402	0
AB1_VIRAL_HEPATITIS	Viral hepatitis	869	176030	1.0436	0
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	3912	172987	1.0075	0
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases	204	176695	0.87792	0
ABDOM_HERNIA	Hernia of abodminal wall	5790	171109	1.0489	6
ABDOM_HERNIA_POSTOP	Hernia of abodminal wall, postoperative	1817	114488	1.0259	0
ACUTE_RESPIRATORY_INFECTIONS	Asthma/COPD-related acute respiratory infections	31588	131682	1.0562	3
AD_AM	Alzheimer's disease (Atypical or mixed)	615	173836	1.0292	1
AD_AM_EXMORE	Alzheimer's disease (Atypical or mixed) (more controls excluded)	615	93979	1.0235	1
AD_EO	Alzheimer's disease (Early onset)	502	173833	1.0226	1
AD_EO_EXMORE	Alzheimer's disease (Early onset) (more controls excluded)	502	93979	1.0269	1
AD_LO	Alzheimer's disease (Late onset)	2143	173823	1.0422	7
AD_LO_EXMORE	Alzheimer's disease (Late onset) (more controls excluded)	2143	93979	1.0316	7
AD_U	Alzheimer's disease (undefined)	150	173839	0.81412	1
AD_U_EXMORE	Alzheimer's disease (undefined) (more controls excluded)	150	93979	0.81211	1
ALCOGASTRITIS	Alcoholic gastritis	206	176693	0.8686	0
ALCOHOLACUTE10	Acute alcohol intoxication	2442	174017	1.0345	2
ALCOHOLMENTAL	Mental and behavioural disorders due to alcohol, excluding acute intoxication	7406	169493	1.0689	1
ALCOHOL_RELATED	Alcohol related diseases and deaths, all endoints	10235	166664	1.0802	2
ALCOLIVER	Alcoholic liver disease	1071	175828	1.0465	1
ALCONEURODEGEN	Degeneration of nervous system due to alcohol	249	176650	0.90891	1
ALCOPANCACU	Acohol-induced acute pancreatitis	342	176557	0.96727	3
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	719	176180	1.0407	3
ALCO_PRESCRIPTION	Use of disulfiram, acamprosate or naltrexone	1266	175633	1.0359	0
ALLERG_ASTHMA	Allergic asthma (mode)	3768	113428	1.0455	2
ALLERG_ASTHMA_EXMORE	Allergic asthma (mode) (more controls excluded)	3768	110120	1.0446	3
ALLERG_RHINITIS	Allergic rhinitis	4300	171926	1.0446	2
AMN2	Transient global amnesia	996	170139	1.0552	0
ANOSMIA	Anosmia	298	50989	0.95864	1
ANTIDEPRESSANTS	Depression medications	46441	50989	1.1101	4
APPENDACUT_COMPLIC	Acute appendicitis, with complications	3018	163396	1.0278	2
APPENDACUT_NOCOMPLIC	Acute appendicitis, no complications	9458	163396	1.0441	3
APPENDICITIS_BROAD	Appendicitis, broad definition	13396	163396	1.0547	3
ARTHRO_SPEC	Other specific arthropathies	244	141876	0.90935	1
ARTRHO_POSTDYSENTERIC	Postydysenteric arthropathy	108	176053	0.73347	1
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	31588	131682	1.0562	3
ASTHMA_ALLERG	Asthma and allergy	1696	113428	1.0412	0
ASTHMA_ALLERG_EXMORE	Asthma and allergy (more controls excluded)	1696	110120	1.0398	0
ASTHMA_CHILD	Childhood asthma (age<16)	2258	113428	1.0431	2
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more controls excluded)	2258	110120	1.045	2
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	925	113428	1.0422	2
ASTHMA_HOSPITAL_MAIN	Asthma, hospital admissions , main diagnosis only	13526	163373	1.0896	14
ASTHMA_INFECTIONS	Asthma-related infections	45217	131682	1.0581	1
ASTHMA_MIXED	Asthma mixed form (mode)	540	113428	1.0283	0
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more controls excluded)	540	110120	1.0283	0
ASTHMA_MODE	Asthma (mode)	15132	113686	1.0966	15
ASTHMA_NAS	Asthma, unspecified (mode)	7168	113428	1.0513	2
ASTHMA_NAS_EXMORE	Asthma, unspecified (mode) (more controls excluded)	7168	110120	1.0508	3
ASTHMA_NONALLERG	Non-allergic asthma	2464	149905	1.0388	0
ASTHMA_NOS	Undetermined asthma	1318	113428	1.0393	0
ASTHMA_NOS_EXMORE	Undetermined asthma (more controls excluded)	1318	110120	1.0412	0
ASTHMA_OBESITY	Obesity related asthma	2984	113428	1.0518	0
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunit respiratory infection	401	113428	1.007	0
ASTHMA_PNEUMONIA	Asthma-related pneumonia	20545	131682	1.0226	3
ASTHMA_PNEUMONIA_AND_SEPSIS	Asthma-related pneumonia or sepsis	20619	156280	1.0112	2
ASTHMA_SEPTICHE_PNEUMONIA	Pneumonia derived septichemia	319	131682	0.96864	1
ATOPIC_STRICT	Atopic  dermatitis, strict definition	4055	172657	1.0465	11
ATOPIC_STRICT_REIMB	Atopic dermatitis, strict definition with reimbursement	4242	161620	1.0436	11
AUD_SWEDISH	Alcohol use disorder, Swedish definition	9372	167527	1.0802	1
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	706	174856	1.0426	0
BRONCHITIS	Bronchitis	20964	155935	1.0547	0
C3_BLADDER	Malignant neoplasm of bladder	875	176024	1.0475	1
C3_BLADDER_EXALLC	Malignant neoplasm of bladder (other cancers excluded from controls)	875	147282	1.0484	1
C3_BRAIN	Malignant neoplasm of brain	366	176533	0.99395	0
C3_BRAIN_EXALLC	Malignant neoplasm of brain (other cancers excluded from controls)	366	147282	0.9907	0
C3_BREAST	Malignant neoplasm of breast	6023	94338	1.0383	18
C3_BREAST_EXALLC	Malignant neoplasm of breast (other cancers excluded from controls)	6023	83817	1.0407	15
C3_BRONCHUS_LUNG	Malignant neoplasm of bronchus and lung	1385	175514	1.047	2
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung (other cancers excluded from controls)	1385	146279	1.0465	2
C3_CANCER	Malignant neoplasm	29617	147282	1.0422	16
C3_CERVIX_UTERI	Malignant neoplasm of cervix uteri	1313	99048	1.034	2
C3_CERVIX_UTERI_EXALLC	Malignant neoplasm of cervix uteri (other cancers excluded from controls)	1313	83817	1.0345	2
C3_CLL	Chronic lymphocytic leukaemia	202	176697	0.88261	0
C3_CLL_EXALLC	Chronic lymphocytic leukaemia (other cancers excluded from controls)	202	147277	0.87537	0
C3_COLON	Malignant neoplasm of colon	1448	175451	1.0292	0
C3_COLON_ADENO	Colon adenocarcinoma	1131	175768	1.0383	0
C3_COLON_ADENO_EXALLC	Colon adenocarcinoma (other cancers excluded from controls)	1131	147282	1.035	0
C3_COLON_EXALLC	Malignant neoplasm of colon (other cancers excluded from controls)	1448	147282	1.0273	0
C3_COLORECTAL	Colorectal cancer	2435	174464	1.0264	2
C3_COLORECTAL_EXALLC	Colorectal cancer (other cancers excluded from controls)	2435	147282	1.025	3
C3_CONNECTIVE_SOFT_NAS	Malignant neoplasm of other connective and soft tissue	213	176686	0.8856	0
C3_CONNECTIVE_SOFT_NAS_EXALLC	Malignant neoplasm of other connective and soft tissue (other cancers excluded from controls)	213	147282	0.8856	0
C3_CORPUS_UTERI	Malignant neoplasm of corpus uteri	879	99482	1.045	0
C3_CORPUS_UTERI_EXALLC	Malignant neoplasm of corpus uteri (other cancers excluded from controls)	879	83817	1.0465	0
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	4298	172601	1.0297	1
C3_DIGESTIVE_ORGANS_EXALLC	Malignant neoplasm of digestive organs (other cancers excluded from controls)	4298	147282	1.0316	1
C3_DLBCL	Diffuse large B-cell lymphoma	176	176723	0.85559	1
C3_DLBCL_EXALLC	Diffuse large B-cell lymphoma (other cancers excluded from controls)	176	147281	0.85601	0
C3_ENDOCRINE	Malignant neoplasm of endocrine gland	870	176029	1.045	3
C3_ENDOCRINE_EXALLC	Malignant neoplasm of endocrine gland (other cancers excluded from controls)	870	147282	1.0407	3
C3_EYE_ADNEXA	Malignant neoplasm of eye and adnexa	127	176772	0.7725	0
C3_EYE_ADNEXA_EXALLC	Malignant neoplasm of eye and adnexa (other cancers excluded from controls)	127	147282	0.77289	0
C3_EYE_BRAIN_NEURO	Malignant neoplasm of eye, brain and central nervous system	1160	175739	1.0426	0
C3_EYE_BRAIN_NEURO_EXALLC	Malignant neoplasm of eye, brain and central nervous system (other cancers excluded from controls)	1160	147282	1.0412	0
C3_FEMALE_GENITAL	malignant neoplasm of female genital organs	2994	97367	1.0188	1
C3_FEMALE_GENITAL_EXALLC	malignant neoplasm of female genital organs (other cancers excluded from controls)	2994	83817	1.0202	1
C3_KIDNEY_NOTRENALPELVIS	Malignant neoplasm of kidney, except renal pelvis	775	176124	1.0475	0
C3_KIDNEY_NOTRENALPELVIS_EXALLC	Malignant neoplasm of kidney, except renal pelvis (other cancers excluded from controls)	775	147282	1.0455	0
C3_LARYNX	Malignant neoplasm of larynx	144	176755	0.79929	0
C3_LARYNX_EXALLC	Malignant neoplasm of larynx (other cancers excluded from controls)	144	147176	0.80048	0
C3_LIP_ORAL_PHARYNX	Malignant neoplasm of lip, oral cavity and pharynx	110	176789	0.73535	1
C3_LIP_ORAL_PHARYNX_EXALLC	Malignant neoplasm of lip, oral cavity and pharynx (other cancers excluded from controls)	110	147282	0.73159	0
C3_LIVER_INTRAHEPATIC3_BILE_DUCTS_EXALLC	Malignant neoplasm of liver and intrahepatic bile ducts (other cancers excluded from controls)	238	147282	0.90543	1
C3_LIVER_INTRAHEPATIC_BILE_DUCTS	Malignant neoplasm of liver and intrahepatic bile ducts	266	176633	0.93132	1
C3_LIVER_INTRAHEPATIC_BILE_DUCTS_EXALLC	Malignant neoplasm of liver and intrahepatic bile ducts (other cancers excluded from controls)	266	147282	0.92734	1
C3_LUNG_NONSMALL	Non-small cell lung cancer	999	175900	1.0431	1
C3_LUNG_NONSMALL_EXALLC	Non-small cell lung cancer (other cancers excluded from controls)	999	146591	1.045	1
C3_LYMPHNODES_SECONDARY_NAS	Secondary and unspecified malignant neoplasm of lymph nodes	811	176088	1.0446	0
C3_LYMPHNODES_SECONDARY_NAS_EXALLC	Secondary and unspecified malignant neoplasm of lymph nodes (other cancers excluded from controls)	811	147282	1.0441	0
C3_MALE_GENITAL	malignant neoplasm of male genital organs	4945	71593	1.0316	31
