phenocode	name	category	num_cases	num_controls	gc_lambda	num_gw_significant
AB1_AMOEBIASIS	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	87	197298	0.68314	0
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	891	212952	1.0369	0
AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers	I Certain infectious and parasitic diseases (AB1_)	1450	217342	1.0345	4
AB1_ASPERGILLOSIS	Aspergillosis	I Certain infectious and parasitic diseases (AB1_)	87	214816	0.68529	0
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	I Certain infectious and parasitic diseases (AB1_)	146	217637	0.7965	0
AB1_BACTINF_NOS	"Bacterial infection, other or unspecified"	I Certain infectious and parasitic diseases (AB1_)	20977	197660	1.0422	3
AB1_BACT_BIR_OTHER_INF_AGENTS	"Bacterial, viral and other infectious agents"	I Certain infectious and parasitic diseases (AB1_)	1427	217365	1.0273	0
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	2708	197298	1.0164	0
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	2015	214816	1.0273	0
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	1032	212952	1.0441	0
AB1_CHOLERA	Cholera	I Certain infectious and parasitic diseases (AB1_)	818	197298	1.0586	0
AB1_CMV	Cytomegaloviral disease	I Certain infectious and parasitic diseases (AB1_)	270	213666	0.93532	0
AB1_DERMATOPHYTOSIS	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	1656	214816	1.0302	1
AB1_EARLY_SYPHILIS	Early syphilis	I Certain infectious and parasitic diseases (AB1_)	165	212952	0.82507	0
AB1_EBV	Infectious mononucleosis	I Certain infectious and parasitic diseases (AB1_)	1238	213666	1.0426	1
AB1_ERYSIPELAS	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	10019	197660	1.0586	0
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	15255	197298	1.0552	2
AB1_GHLAMY_OTHER	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	167	218605	0.82956	1
AB1_GONOCOCCAL	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	480	212952	1.0174	0
AB1_HELMINTIASES	Helminthiases	I Certain infectious and parasitic diseases (AB1_)	232	218560	0.90023	0
AB1_HEPATITIS_OTHER_VIRAL	Other  viral hepatitis	I Certain infectious and parasitic diseases (AB1_)	1007	217566	1.0484	0
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	1595	211856	1.025	0
AB1_HIV	Human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	357	218435	0.98839	0
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	157	218435	0.82019	0
AB1_INFECTIONS	Certain infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	57998	160794	1.0649	1
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	21494	197298	1.0615	1
AB1_LATE_SYPHILIS	Late syphilis	I Certain infectious and parasitic diseases (AB1_)	173	212952	0.84147	0
AB1_MALARIA	Malaria	I Certain infectious and parasitic diseases (AB1_)	81	218466	0.66817	1
AB1_MEASLES	Measles	I Certain infectious and parasitic diseases (AB1_)	180	211856	0.84768	1
AB1_MENINGOCOCCAL	Meningococcal infection	I Certain infectious and parasitic diseases (AB1_)	128	197660	0.76165	0
AB1_MUMPS	Mumps	I Certain infectious and parasitic diseases (AB1_)	436	213666	1.0051	0
AB1_MYCOSES	Mycoses	I Certain infectious and parasitic diseases (AB1_)	3976	214816	1.0136	0
AB1_OTHER_BACTERIAL	Other bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	21132	197660	1.0422	3
AB1_OTHER_BACT_INOTHER	Other bacterial agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	134	217365	0.78503	0
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	187	218605	0.85977	1
AB1_OTHER_CONDITIONS	Human immunodeficiency virus [HIV] disease resulting in other conditions	I Certain infectious and parasitic diseases (AB1_)	333	218435	0.97733	0
AB1_OTHER_INFECTIONS	Other infectious diseases	I Certain infectious and parasitic diseases (AB1_)	1213	217579	1.0326	0
AB1_OTHER_MYCOBAC	Infection due to other mycobacteria	I Certain infectious and parasitic diseases (AB1_)	188	197660	0.85852	0
AB1_OTHER_PROTOZOAL	Other protozoal intestinal diseases	I Certain infectious and parasitic diseases (AB1_)	145	197298	0.79809	0
AB1_OTHER_SEPSIS	Other septicaemia	I Certain infectious and parasitic diseases (AB1_)	5373	197660	1.0235	0
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	I Certain infectious and parasitic diseases (AB1_)	1182	217610	1.0393	1
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses	I Certain infectious and parasitic diseases (AB1_)	224	214816	0.88988	0
AB1_OTHER_VIRAL	Other viral diseases	I Certain infectious and parasitic diseases (AB1_)	5126	213666	1.0202	1
AB1_PARASITIC_NOS	Unspecified parasitic disease	I Certain infectious and parasitic diseases (AB1_)	123	217987	0.76435	2
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	"Pediculosis, acariasis and other infestations"	I Certain infectious and parasitic diseases (AB1_)	805	217987	1.0479	0
AB1_PNEUMOCYSTOSIS	Pneumocystosis	I Certain infectious and parasitic diseases (AB1_)	140	218466	0.79769	0
AB1_POLIOMYELITIS	Acute poliomyelitis	I Certain infectious and parasitic diseases (AB1_)	230	217637	0.90673	0
AB1_PROTOZOAL	Protozoal diseases	I Certain infectious and parasitic diseases (AB1_)	326	218466	0.97366	0
AB1_RESP_TUBERCU	Respiratry tuberculosis	I Certain infectious and parasitic diseases (AB1_)	849	217599	1.0436	0
AB1_RESP_TUBERCU_CONF	"Respiratory tuberculosis, bacteriologically and histologically confirmed"	I Certain infectious and parasitic diseases (AB1_)	247	217599	0.9124	0
AB1_RESP_TUBERCU_NONCONF	"Respiratory tuberculosis, not confirmed bacteriologically or histologically"	I Certain infectious and parasitic diseases (AB1_)	637	217599	1.0335	0
AB1_RUBELLA	Rubella [German measles]	I Certain infectious and parasitic diseases (AB1_)	553	211856	1.0302	0
AB1_SALMONELLA_OTH	Other salmonella infections	I Certain infectious and parasitic diseases (AB1_)	597	197298	1.0283	0
AB1_SCABIES	Scabies	I Certain infectious and parasitic diseases (AB1_)	575	217987	1.0378	0
AB1_SCARLET_FEVER	Scarlet fever	I Certain infectious and parasitic diseases (AB1_)	101	197660	0.71815	0
AB1_SCHISTOSOMIASIS	Schistosomiasis [bilharziasis]	I Certain infectious and parasitic diseases (AB1_)	221	218571	0.89375	0
AB1_SEPSIS	Septicaemia	I Certain infectious and parasitic diseases (AB1_)	6164	197660	1.0221	1
AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	936	217489	1.0383	0
AB1_SEQULAE_POLIO	Sequelae of poliomyelitis	I Certain infectious and parasitic diseases (AB1_)	114	217489	0.7361	0
AB1_SEQULAE_TUBERCU	Sequelae of tuberculosis	I Certain infectious and parasitic diseases (AB1_)	255	217489	0.92911	0
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	1303	217489	1.0364	0
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	I Certain infectious and parasitic diseases (AB1_)	5840	212952	1.0316	2
AB1_SEXUAL_TRANSMISSION_NOS	"Other predominantly sexually transmitted diseases, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)	3114	212952	1.0383	1
AB1_SPIROCHE_OTHER	"Spirochaetal infections, other/unspecified"	I Certain infectious and parasitic diseases (AB1_)	1132	217610	1.0393	0
AB1_STREPTO_SEPSIS	Streptococcal septicaemia	I Certain infectious and parasitic diseases (AB1_)	1090	197660	1.034	0
AB1_STREPTSTAPHYCOCC_INOTHER	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	94	217365	0.70525	0
AB1_SYPHILIS	Syphilis	I Certain infectious and parasitic diseases (AB1_)	350	212952	0.97275	0
AB1_TOXOPLASMOSIS	Toxoplasmosis	I Certain infectious and parasitic diseases (AB1_)	96	218466	0.69977	0
AB1_TRICHOMONIASIS	Trichomoniasis	I Certain infectious and parasitic diseases (AB1_)	133	212952	0.78031	0
AB1_TUBERCULOSIS	Tuberculosis	I Certain infectious and parasitic diseases (AB1_)	1193	217599	1.0345	0
AB1_TUBERCU_OTH_ORG	Tuberculosis of other organs	I Certain infectious and parasitic diseases (AB1_)	337	217599	0.96773	0
AB1_TULARAEMIA	Tularaemia	I Certain infectious and parasitic diseases (AB1_)	166	218550	0.81817	0
AB1_VARICELLA	Varicella [chickenpox]	I Certain infectious and parasitic diseases (AB1_)	710	211856	1.0307	1
AB1_VIRAAL_CONJUNCT	Viral conjunctivitis	I Certain infectious and parasitic diseases (AB1_)	290	213666	0.94379	0
AB1_VIRAL_CNS	Viral infections of the central nervous system	I Certain infectious and parasitic diseases (AB1_)	1155	217637	1.0374	0
AB1_VIRAL_ENCEPHALITIS_NOS	"Viral encephalitis, not elsewhere classified/unspecified"	I Certain infectious and parasitic diseases (AB1_)	268	217637	0.93354	1
AB1_VIRAL_HEMOR_FEVER_NOS	"Viral haemorrhagic fevers, not elsewhere classified/unspecified"	I Certain infectious and parasitic diseases (AB1_)	1159	217342	1.0374	6
AB1_VIRAL_HEPATITIS	Viral hepatitis	I Certain infectious and parasitic diseases (AB1_)	1226	217566	1.0479	0
AB1_VIRAL_INOTHER	Viral agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	268	217365	0.94156	0
AB1_VIRAL_MENINGITIS	Viral meningitis	I Certain infectious and parasitic diseases (AB1_)	533	217637	1.0235	0
AB1_VIRAL_NOS	"Other viral diseases, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)	3043	213666	1.0188	0
