phenocode	name	category	num_cases	num_controls	num_gw_significant
AB1_ACTINOMYCOSIS	Actinomycosis	Certain infectious and parasitic diseases (AB1_)	87	303314	0
AB1_AMOEBIASIS	Amoebiasis	Certain infectious and parasitic diseases (AB1_)	136	305879	2
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	Certain infectious and parasitic diseases (AB1_)	1613	332788	0
AB1_ASPERGILLOSIS	Aspergillosis	Certain infectious and parasitic diseases (AB1_)	177	335444	0
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	Certain infectious and parasitic diseases (AB1_)	238	340582	1
AB1_BACTINF_NOS	Bacterial infection, other or unspecified	Certain infectious and parasitic diseases (AB1_)	16018	303314	1
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	Certain infectious and parasitic diseases (AB1_)	2307	340192	0
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	Certain infectious and parasitic diseases (AB1_)	5016	305879	1
AB1_CANDIDIASIS	Candidiasis	Certain infectious and parasitic diseases (AB1_)	3475	335444	0
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	Certain infectious and parasitic diseases (AB1_)	1777	332788	1
AB1_CHOLERA	Cholera	Certain infectious and parasitic diseases (AB1_)	1202	305879	0
AB1_DERMATOPHYTOSIS	Dermatophytosis	Certain infectious and parasitic diseases (AB1_)	3027	335444	3
AB1_EARLY_SYPHILIS	Early syphilis	Certain infectious and parasitic diseases (AB1_)	254	332788	0
AB1_EBV	Infectious mononucleosis	Certain infectious and parasitic diseases (AB1_)	2099	333715	1
AB1_ENTEROBIASIS	Enterobiasis	Certain infectious and parasitic diseases (AB1_)	86	342070	0
AB1_ERYSIPELAS	Erysipelas	Certain infectious and parasitic diseases (AB1_)	17852	303314	7
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	Certain infectious and parasitic diseases (AB1_)	26288	305879	1
AB1_GONOCOCCAL	Gonococcal infection	Certain infectious and parasitic diseases (AB1_)	791	332788	0
