CID	BIOCHEMICAL_NAME	SUPER_PATHWAY	HMDB_ID	LINK
C100000007	carnitine	Lipid	HMDB0000062	http://share.sph.umich.edu/metsim_metabqtl/C100000007_primary_mac5.epacts.gz
C100000008	benzoate	Xenobiotics	HMDB0001870	http://share.sph.umich.edu/metsim_metabqtl/C100000008_primary_mac5.epacts.gz
C100000010	3-phenylpropionate (hydrocinnamate)	Xenobiotics	HMDB0000764	http://share.sph.umich.edu/metsim_metabqtl/C100000010_primary_mac5.epacts.gz
C100000011	phenylacetate	Amino_Acid	HMDB0000209	http://share.sph.umich.edu/metsim_metabqtl/C100000011_primary_mac5.epacts.gz
C100000014	hippurate	Xenobiotics	HMDB0000714	http://share.sph.umich.edu/metsim_metabqtl/C100000014_primary_mac5.epacts.gz
C100000015	xanthurenate	Amino_Acid	HMDB0000881	http://share.sph.umich.edu/metsim_metabqtl/C100000015_primary_mac5.epacts.gz
C100000016	suberate (C8-DC)	Lipid	HMDB0000893	http://share.sph.umich.edu/metsim_metabqtl/C100000016_primary_mac5.epacts.gz
C100000036	3-methyl-2-oxovalerate	Amino_Acid	HMDB0000491	http://share.sph.umich.edu/metsim_metabqtl/C100000036_primary_mac5.epacts.gz
C100000039	methionine sulfoxide	Amino_Acid	HMDB0002005	http://share.sph.umich.edu/metsim_metabqtl/C100000039_primary_mac5.epacts.gz
C100000042	3-methylhistidine	Amino_Acid	HMDB0000479	http://share.sph.umich.edu/metsim_metabqtl/C100000042_primary_mac5.epacts.gz
C100000043	4-acetamidophenylglucuronide	Xenobiotics	HMDB0010316	http://share.sph.umich.edu/metsim_metabqtl/C100000043_primary_mac5.epacts.gz
C100000054	5-hydroxylysine	Amino_Acid	HMDB0000450	http://share.sph.umich.edu/metsim_metabqtl/C100000054_primary_mac5.epacts.gz
C100000096	4-guanidinobutanoate	Amino_Acid	HMDB0003464	http://share.sph.umich.edu/metsim_metabqtl/C100000096_primary_mac5.epacts.gz
C100000257	glucuronate	Carbohydrate	HMDB0000127	http://share.sph.umich.edu/metsim_metabqtl/C100000257_primary_mac5.epacts.gz
C100000258	glycerol 3-phosphate	Lipid	HMDB0000126	http://share.sph.umich.edu/metsim_metabqtl/C100000258_primary_mac5.epacts.gz
C100000263	imidazole lactate	Amino_Acid	HMDB0002320	http://share.sph.umich.edu/metsim_metabqtl/C100000263_primary_mac5.epacts.gz
C100000265	kynurenine	Amino_Acid	HMDB0000684	http://share.sph.umich.edu/metsim_metabqtl/C100000265_primary_mac5.epacts.gz
C100000269	glycerophosphorylcholine (GPC)	Lipid	HMDB0000086	http://share.sph.umich.edu/metsim_metabqtl/C100000269_primary_mac5.epacts.gz
C100000276	maltotriose	Carbohydrate	HMDB0001262	http://share.sph.umich.edu/metsim_metabqtl/C100000276_primary_mac5.epacts.gz
